ENSXETG00000020444,ENSXETG00000034361,ENSXETG00000027596,ENSXETG00000016681,ENSXETG00000040503,ENSXETG00000016572,ENSXETG00000009516,ENSXETG00000001339,ENSXETG00000011825,ENSXETG00000014751,ENSXETG00000039639,ENSXETG00000000488,ENSXETG00000016385,ENSXETG00000027751,ENSXETG00000007390,ENSXETG00000024684,ENSXETG00000046081,ENSXETG00000017402,ENSXETG00000023384,ENSXETG00000005347,ENSXETG00000012164,ENSXETG00000002665,ENSXETG00000010814,ENSXETG00000008512,ENSXETG00000011722,ENSXETG00000002770,ENSXETG00000014251,ENSXETG00000006391,ENSXETG00000009903,ENSXETG00000007404,ENSXETG00000011651,ENSXETG00000014771,ENSXETG00000010361,ENSXETG00000034500,ENSXETG00000044879,ENSXETG00000027727,ENSXETG00000015926,Terms
,,,,33999993,,,,,,,,,,,,,,,,26581954,,,,31021473,,,,,,,,,,,,,oct4
,,,,15347652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xotx5
,,,,"12710967,15347652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,15452064,,,"10594042,23508108,11997499",synergy
,,,,17872382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pineal
,,,,,,20844742,,,,,,,,,,,,,,,,,,"22721921,22967762",,,,,,,,,,,,17997606,spatiotemporal
,,,,"24056062,17872382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otx5
,,,,29440302,,,,,,,,"20059949,22184064,20100936",,,,21164013,,,,,,,,,,,,,,,,11986303,,,,,cdk
,,,,29440302,,,"15649459,19224982",26394147,,,,,,,,,"30235249,28473402",,32183175,,,,,,,,,,,,,,,,,,enlarge
,,,,32549762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mir-4516
,,,,26985665,,,29254211,,,,,,,,,,,33752971,,33731672,,,,28324005,,,"18973667,25202477",,,,,,22046331,,,,normalize
,,,,28988713,34508305,,,,,,,,,,,32077747,,,33686397,,,,,,,,34073234,,,,,,,,,,epithelial-mesenchymal
,,,,31655597,,,,,,,,,,,,,23801983,,,,,,,,,,,,,,,,,,,,polyq
,,,,27097562,,,,,,,,,,,,,,,,,,,,,,,32512821,,,,,,,,,,albino
,,,,27097562,,,,,,26030138,,,,,,,,,,24552547,,35911972,,,,28302723,31126018,,,,,27892488,,,,,unravel
,,,,22564795,35681437,32959027,,,,33284322,,,,,,,,32959027,,,,,,,,17578910,31374363,,,,,,,,,,circuit
,,,,33963285,,,,,,,,,,,,,,,,"33569461,29453425",,,,,,,,,,,,28231391,,,,,plexus
,,,,"32631829,25005894",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crms
,,,,,24042587,,32210829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bsp
,,,,,16115867,,,,,10847580,,33153214,,,,,,,,,,"17936691,16573691,29375488",,,,,,,,,,,21383540,,,,responsiveness
,,,,,15383550,,33905521,,,9756848,10393184,,,,,,,,,,,,,,,,,,,,,29518406,,,,23508108,stimulatory
,,,,,"15383550,12815054",,,,,,16331689,,,,,,,34384932,,,,,,29898807,,,,,,,,,,,,,c2c12
,,,,,,,,,,,,,,,26792178,,,,,,34549988,29238562,,,,,,,,,,,,,,,foot
,,,,,18498429,,,,,,,,,,,,,,,,,,,26305539,,,,,,,,,,,,,meishan
,,,,,12895028,16420440,19224982,,,19253283,,,,,,,,,"19253283,33255149",28315483,,,,,,,23008267,,,33255149,,,16600425,,,,temporally
,,,,,"23571216,19007769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dlx3b4b
,,,,,35220830,,32210829,,,,,,,,,,,,24623079,,,,,,,,,,,,,,,,,,dentin
,,,,,21270050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ectethmoid
,,,,,25954033,,,,,,,,,,,,,,23308156,12941645,28934368,,,,,,,,,,,,,,,,rerio
,,,,,"25954033,20573696,15581883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dlx4b
,,,,,"18158147,26685160",,,,,34810232,,,,,,,,,,,,,,,,,,,,,,,16157662,,,,polarity
,,,,,20573696,"18180367,32873862",27287801,,,10847580,,,,,,,,,32742246,,25479903,,,,,,17118580,,,,,,,,,,delineate
,,,,,29246798,,28002843,,,,,,,,,,,,"35414502,32867742",,23842751,22293958,,,,,,,,,,"34029576,23796494",,,,,infiltration
,,,,,35681437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,idlx56i
,,,,,"26685160,23382810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,aer
,,,,,,33686586,,,,,,,,,,,,,3500230,32916630,,,,,,,,,,32636874,,,,,,,lymphoid
,,,,,,,,,,33284322,,,28468944,,,,,,,,,,,,,,,,,14570900,,,,,12773398,,adaptor
,,,,,,"11163245,11830591,15287743,17557114",,,,,16245309,,,,,,,,,,,,,,,20018852,,,,,,,,,,11997499,acetyltransferases
,,,,,,30666459,,,,,,,,,,,,,24854554,,30005605,,,,,,,,,,,,,,,,a549
,,,,,,,,,,"9409622,23793017",,,27804976,,,,,,,19864425,,,,,,,,,,,,,,,,9430642,bona
,,,,,,,,,,"9409622,23793017",,,27804976,,,,,,,19864425,,,,,,,,,,,,,,,,9430642,fide
,,,,,,,,15505029,,,,,35892672,,,,,35921115,35892672,32737368,"27053151,23842751",,,,,,,,,,,,,,,,c57bl6
,,,,,,31676851,,,,,,,,,,,,,,,,,,"31676851,27412694,26088507",,,33083141,,,,,,,,,,mastitis
,,,,,,25116916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,delta-lactoferrin
,,,,,,31552903,,,,,,,,,,,,,31552903,,,,,,,,,,,,,,,,,,kai-xin-san
,,,,,,,15649459,,,,,,,,,,,,24732964,,,,,,,,,,,,,,,,,,valve
,,,,,,,,,,,,,,,,,29186753,"12616398,19107570",,,,,,,,,,,,,,,,,,,microsatellite
,,,,,,,16540541,,,,,,,,,,,,,34199160,,,,,,,25555378,,,,,22166015,,,,,dexamethasone
,,,,,,,12952927,,,,,,34944635,,,,,,34944635,,,24821812,,32596266,,,32596266,,,31536826,34944635,,,34944635,,,infusion
,,,,,,,"12952927,31576248,33850810,29254211",,,,,,,,,,,,,31234227,,,,,,,,,,,,30655626,,,,,urinary
,,,,,,,34656743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vertebrae
,,,,,,,33574092,,,32332923,,,,,,,,31938350,,,27470985,,32296580,,,,,,,,,,,,,,chemoresistance
,,,,,,,33760186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sfrp‑4
,,,,,,,32210829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scaps
,,,,,,,32210829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bmscs
,,,,,,,"29055040,26650439",,24528242,,,,,,,,,,,,,,,,,,,,,,,,,,,,pharmacology
,,,,,,,26158506,,,,,20059949,,,,,,,,"33888601,29157910,19864425",,,,,,,,,,,,"23796494,28828729",,,,,lipoprotein
,,,,,,,,"15505029,18502750,12407145",,,,,,,,,,,,31234367,,,,,,,,,,,,29804005,,,,,microsomal
,,,,,,,,25627686,,,,,29715315,,,,,,32319572,,,22070747,,,,,,,,32196615,,,,,,,pi3k
,,,,,,,,,,,,,,,,,,,24188528,26082896,,18760763,12975319,,,19377461,26082896,,,17932509,,15163410,,,,,biochemically
,,,,,,,,,8798450,,,,,,,,,,,,,,,,,,,,,,,,,,,,beta3
,,,,,,,,,32860793,,,,,,,,,,,,,,,,,,,,,,,,,,,,cevm
,,,,,,,,,35887102,,,,,,,,,,,,,,,,,,,,,,,,,,,,βsub2sub
,,,,,,,,,35887102,,,,,,,,,,,,,,,,,,16525935,,,,,,34976870,,,,hamster
,,,,,,,,,30733281,,,,,,17965014,,,,,,,,,,,,,,,,,,,,,,sppl2c
,,,,,,,,,29967323,"32796906,24523552",,,,32796906,,,,,,26581954,,,,,,,,,,,,21776009,,,,,regenerative
,,,,,,,,,28270566,32034402,,,,,"26515131,10781099,16091362,21752865,29476059",,,,,,,,,,,,,,32111039,,,,,,,,neuropathological
,,,,,,,,,28270566,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofc
,,,,,,,,,26191006,28436273,,,,,,,,,"16677835,29439554",,,,,,,,,,,,,,,,,,leukemic
,,,,,,,,,,16641145,,,,,,,,,,,,,,,,,,,,,,,,,,"19481530,31272713,17997606",coregulators
,,,,,,,,,,"16641145,15140795",,,,,,,,,,,,,,,,,,,,,,,,,,,dbhs-containing
,,,,,,,,,,32286661,,30411496,,,,,,,,,,,,,,23353889,,,,,,,,,,,tet1
,,,,,,,,,,15860628,,,,,,,,,,,,,,,,"15960975,19131338,20018852,23629655",,,,,,,,,,,wdr5
,,,,,,,,,,10847580,,,,,,,,,,,,,,,,,,,,,,,,,,,igfre
,,,,,,,,,,11259580,17452463,,,,,,,,,,,,,,,,,,,,,,,,,,n-cor
,,,,,,,,,,"12403470,9409622",,,,,,,,,,,,,"26912367,28781166",,,,,,,,,,,,,,u4u6u5
,,,,,,,,,,16767080,,,,,,,,,,,,,,,,,,,,,,,,,,,n-wasp
,,,,,,,,,,17965020,"12037672,17452463",,,,,21164014,,,,,,,,,,,18000335,,,,,,,,,,phosphorylate
,,,,,,,,,,21933836,,,,,,,,,,,,,,12183465,,,,,,,,,,,,,ddx1
,,,,,,,,,,19144721,,,,,,,,,,,,,,,,,,,,,,,,,,,pitx3
,,,,,,,,,,33729478,,,,22837305,,,31337710,,,,,32804944,,,,,12782322,,,,,"12782322,1383159",30113774,,,,biotin
,,,,,,,,,,32468006,,,,,,,,,,,,,,,,,,,,,,,,,,,csc
,,,,,,,,,,21734034,,,,,,,,,,,,,,31723020,,,,,,25965334,,,,,,,kshv
,,,,,,,,,,15576338,,,,,,,,,,,,,,32575635,,,,,,,,26715182,,,,,ubiquitin-like
,,,,,,,,,,,"10329126,12065898",,,,,,,,,,,,,,,,,,,,,,,,,,t2b
,,,,,,,,,,,28409330,,,,,,,,,,,,,,,,,,,,,,,,,,mir-192
,,,,,,,,,,,"10364329,12944466",,,,,,,,,,,,,,,,,,,,,,,,,,ltr
,,,,,,,,,,,10329126,,,,,,,,,,,,,,,,,,,,,,,,,,tat-activation
,,,,,,,,,,,,"19524571,26831658,27666310",,,,,,,,,,,,,,,,,,,,,,,,,pftk1
,,,,,,,,,,,,"20059949,24794231,27203244",,,,,,,,,,,,,,,,,,,,,,,,,lrp6
,,,,,,,,,,,,35271667,31355153,,,,,,,31234227,24811072,,,,,,"20003296,26195524,31374363",,,28367977,,,,,,,tricarboxylic
,,,,,,,,,,,,,19014685,,,,,,,12941645,,35158652,,,,,18973667,,,32636874,,22450240,,,,,aquaculture
,,,,,,,,,,,,,29715315,,,,,,,,,,,,,,,,,,,,,,,,pip3
,,,,,,,,,,,,,28468944,,,,,,,,,,,,,,,,,,,,,,,,enac
,,,,,,,,,,,,,28468944,,,,,,24188528,,,,,,,,,,,,,,,,,,calpain-2
,,,,,,,,,,,,,26744461,,,,,,,,,,,,,,,,,,,,,,,,mks
,,,,,,,,,,,,,,17239655,,,,,,,,,,,,,,,,,,,,,,,hsp40
,,,,,,,,,,,,,,"17239655,22837305,11048657",,,,,,,,,,,,,,,,,,,,,,,dnaj
,,,,,,,,,,,,,,21503958,,,,,,,,,,,,,,,,,,,,,,,tfii-i
,,,,,,,,,,,,,,,"17873332,18097506",,,,21149303,,,,,,,,,,22025680,,,,,,,16189181,seminiferous
,,,,,,,,,,,,,,,"17873332,18097506",,,,,,,,,,,,,,,,,,,,,,deferens
,,,,,,,,,,,,,,,12082633,,,,,,24811072,,,,,,"22987813,25555378,18065650",,,,,,,,,,deprivation
,,,,,,,,,,,,,,,26792178,,,,,,,,,29724888,,,21814176,,,,,,,,,,podocyte
,,,,,,,,,,,,,,,17892558,,,19364667,1999398,,,,,,,,"14760707,29342075",,,,,1383159,33841819,,,,polyacrylamide
,,,,,,,,,,,,,,,22757692,,,"22757692,33240452",,,,,,,,,26150808,,,,,,28068390,,,,krebs
,,,,,,,,,,,,,,,,"12944371,28613156",,,,,,,,,,,,,,,,,,,,,arpp-1619
,,,,,,,,,,,,,,,,"14738879,18927152",,,,,,,,,,,,,,,,,,,,,alpha-endosulfine
,,,,,,,,,,,,,,,,,31337710,,,,,,,,,,,,"30357511,26496923,23306908,19665017,22025680",,,,,,,,palmitoylated
,,,,,,,,,,,,,,,,,31315980,,,,,,,,,,,,,,,,,,,,jph1
,,,,,,,,,,,,,,,,,31315980,,,,,,,,,,,,,,,"17329258,8041739",19120453,,,,dimerization
,,,,,,,,,,,,,,,,,31870285,,,,,35158652,,,,,,,,,,,,33083121,,,diversification
,,,,,,,,,,,,,,,,,31870285,,,,,,,,,,,,,,,,,,,,orthogroups
,,,,,,,,,,,,,,,,,,34040028,,,,,,29724888,,,,,,,,"12492477,28828729",,,,,erk
,,,,,,,,,,,,,,,,,,,1999398,,,,,,,,,,,,,8041739,19120453,,,,monomer
,,,,,,,,,,,,,,,,,,,"17888914,24732964",,,,,,,,,,,,,,,,,,tb4
,,,,,,,,,,,,,,,,,,,29026428,,,,,,,,,,,,,,,,,,fodiensi
,,,,,,,,,,,,,,,,,,,29026428,,,,,,,,,,"30357511,23306908,22025680,35445918",,,,,,,,sciatic
,,,,,,,,,,,,,,,,,,,,28975734,,,,,,,"19627569,33688012,29034959,29890774",21667333,,,,29554571,32435206,,,,unicellular
,,,,,,,,,,,,,,,,,,,,32737368,,,,,,,,,,,,,,,,,ric
,,,,,,,,,,,,,,,,,,,,30305605,,,33260872,,,,,,,,,,,,,,bile
,,,,,,,,,,,,,,,,,,,,"29530978,26581954",,,,,,,,,,,,32185676,,,,,adipogenesis
,,,,,,,,,,,,,,,,,,,,20974809,,,,,,,,,,,,,,,,,c-fms
,,,,,,,,,,,,,,,,,,,,35122182,,,,,,,,,,,,,,,,,rp11-241j123
,,,,,,,,,,,,,,,,,,,,19864425,,,,,,,,,,,,,,,,,glut4
,,,,,,,,,,,,,,,,,,,,,"28632987,28934368",,,,,,,,32111039,,,,,,,,iiib
,,,,,,,,,,,,,,,,,,,,,1459448,22293958,,26088507,,,23796209,,,,,,,18325611,,,mitochondrion
,,,,,,,,,,,,,,,,,,,,,19114004,,,,,,19114004,,,,,,"17360499,11976098",,,,polyamines
,,,,,,,,,,,,,,,,,,,,,20688971,,,,,,,,,,,,31906144,,,,phosphosites
,,,,,,,,,,,,,,,,,,,,,34549988,32195236,,,,,,,,,,,,,,,srnas
,,,,,,,,,,,,,,,,,,,,,26360774,,,,,,"26360774,22288420",,,,,,34051757,,,,brasiliensis
,,,,,,,,,,,,,,,,,,,,,29495482,,,,,,"28787542,32098812",,,,,,"28787542,19740108,31031728",,,,asexual
,,,,,,,,,,,,,,,,,,,,,,"24920668,25240868,26511319,35911972,21600186,19917609",,,,,,,,,,,,,,,plp-dependent
,,,,,,,,,,,,,,,,,,,,,,"24920668,26511319",,,,,,,,,,,,,,,quinonoid
,,,,,,,,,,,,,,,,,,,,,,12393718,,,,,25545414,,,,,,2492279,,,,reticulocyte
,,,,,,,,,,,,,,,,,,,,,,"10577279,1570328,21252495,8107717,12031592",,,,,,,,,,,,,,,pyridoxine-responsive
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xlpp
,,,,,,,,,,,,,,,,,,,,,,21600186,,,,,,,,,,"18052930,20144717,17519234,2895105",,,,,oligomeric
,,,,,,,,,,,,,,,,,,,,,,"32804944,31732577,22783226",,,,,,,,,,,30654474,,,,biomass
,,,,,,,,,,,,,,,,,,,,,,,"11991638,12975319,21816274,21516107,11884590",11991638,,,,,,,,,,,,,snrnas
,,,,,,,,,,,,,,,,,,,,,,,21516107,,,,,,,,,,,,,,smf
,,,,,,,,,,,,,,,,,,,,,,,21516107,,,,,,,,,,,,,,smg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rbm42
,,,,,,,,,,,,,,,,,,,,,,,,,,"15199122,17578910,18838538",,,,,,,,,,,set1
,,,,,,,,,,,,,,,,,,,,,,,,,,"19377461,23353889",,,,,,,,,,,glcnacylation
,,,,,,,,,,,,,,,,,,,,,,,,,,20200153,,,,,,,,,,,thap1
,,,,,,,,,,,,,,,,,,,,,,,,,,,23184662,,,,,,,,,,eef2k
,,,,,,,,,,,,,,,,,,,,,,,,,,,"10428815,11402051",,,,,,,,,,gtp
,,,,,,,,,,,,,,,,,,,,,,,,,,,18627462,,,,,,,,,,kti11
,,,,,,,,,,,,,,,,,,,,,,,,,,,"23450745,32817453,30356767",,,,,,"23450745,32817453",,,,mycelium
,,,,,,,,,,,,,,,,,,,,,,,,,,,26195524,,,,,,,,,,persisters
,,,,,,,,,,,,,,,,,,,,,,,,,,,26129968,,,,,,,,,,parvum
,,,,,,,,,,,,,,,,,,,,,,,,,,,19132089,,,,,,,,,,bieneusi
,,,,,,,,,,,,,,,,,,,,,,,,,,,"33688012,34063994",,,,,,34976870,,,,histolyticai
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15452137,,,,,,,gata-2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34343541,,,,,,,atherosclerotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34343541,33885378",,28828729,32817651,,,,vsmcs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26240280,28625552,28487382",,,,,,,nf90nf110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33693959,,,,,,,mir‑7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33885378,,,32817651,,,,vsmc
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29804005,,,,,orai1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29804005,28391978,27892488,31654781",,,,,hsub2subosub2sub
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28391978,20356456",,,,,bcp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19812042,15956211,15824112,14586471,31654781",,,,,sulfiredoxin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30655626,29036266,27082744",,,,,prdx2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12492477,,,,,lzk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12492477,,,,11971985,ikk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20873783,,,,,hnek6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"32605139,33044977",,,,gc7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14622290,33592076",,,,eif5a2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21750984,20018887",,,,zmeif5a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32817722,,,,rsv
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22163185,,,,twe
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33553005,,,,ietieif-5a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22834699,,,,taeif5a1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18325611,,,tbtim17
,,,,31655597,,,,,,34810232,,26220330,,,,,,,,,,,,,,,31620020,,,,,,,,,,strength
"11841538,12373648,20940358",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,palmoplantar
"11841538,29959233",,,,,,,,,,,,,,,,,,,19369144,,,,,,,,,,,,,27239855,,,,,intercellular
11841538,,,,,,,,,,,,,,,,,,,,,,"24920668,26511319,7592562,19917609",,,,,,,,,,,,,,,condensation
"12482924,12802069",,,,14645121,27335460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,subdomains
"15941723,21062920,22781308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arvc
15941723,,,,,,,19206110,,,,,,,,,,,30289745,,,,,,,,,,,,,,28391978,,,,,pain
"28350824,26962295",,,,,,"18439902,24147004,33916053",,,,,11713533,,,,,,,,,,,,,33916053,,,,,,,,,33916053,,,,irradiation
30111112,,,,,,,,,,,,,,,,,,,24098404,,,,,,,,,,,,,,30111112,,,,gcf
32331315,,,,,,,,,,,,,,,,,,,,,,,,,,,"23113029,32817453",,,,,,"32817453,31906791",,,,allergy
"32325910,26104117",,,,,,,,,,,,,,,17519572,,,,,,,,,,,,27303729,,,,,,,,,,immunoglobulin
31425889,,,,,,,,,,,,,,,,,,,,,,,,31425889,,,,,,,,,,,,,propria
31425889,,,,,,,,,,26030138,,,,,31191455,,,,,,,,"19325628,21516107",31425889,,,,,,,,21776009,,,,,excision
22152112,,,,,,,,,,,,,,,16027166,,,,,,,,,,,23353889,,,,10749851,,,32817722,,,,co-localize
34357055,,,,,,,,,,,,,30347620,,,,,,,,31168311,,,,,,,,,,,,,,,,microtubule-associated
27213757,,,,,,,,,,,,,,,,,16809425,,24710523,,,,,,,,,,,,,28391978,,,,,nmda
35681892,,,,31969185,,,,,,,,,,,,,,,,,,,,,,,33083141,,,,,,35681892,,,,lamb
,"25209663,1959619",,,,,,,,,,,,,,,,,"23073781,34384932,34040028",,,,32804944,,,,,,,,,,,,,,,ubiquinone
,25209663,,,,21270050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,supernumerary
,12644575,,,,,,,,,,,,,,,,,"12611891,18721790","24098404,35600141",,,,,,,,33083141,,,,,,,,,,ionization
,,,,,,,,,,,,,,,,,,,,,,,26912367,,,,,,,,"25838379,25278503",12714747,,,,,angstrom
,"1674640,1959619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nd4
,1712754,,,,,,,,,,,,,,,,,,23807296,30305605,,20015225,,,,,,,,,,,,,,,exocrine
,24417559,,,,,,,,"28270566,24284412",,,,,,,,11535622,,,,,,,,,19377461,,,,,,,,,,,evoke
,"24456990,19487983",,,,,,,,,,,,,,,,28473402,,,,,,,,,,,,,,,34130124,32420127,,,,complication
,"24800637,34311469",,,,,,,,,,,,,,,,"30235249,29186753",,,,,12393718,,,,,,,,,,,,,,,penetrance
,20801516,,,,,,,,,,,,,,,,,,16528249,,19114004,17555569,,,,,19114004,,,,,8496166,,,,,hybridize
,12792025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,furiosus
,"15119826,18631365",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16987817,19424157",,,,archaea
,,,,18057103,,,,,,,33600051,,,,,,,,,,,,,,,,,,,,,,23716598,,,,decode
,,,,,,,,,,,,,,,,,,,,,20877624,,,,,,,,,22912857,,,,,,,nuclear-encoded
,"35605315,30340410",,,,,,,,,,,,,,,,,,,,,32269553,,,,,26195524,,,,,,33841819,,,,tolerant
,21695218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31272713,gnrh
,19754951,,,,,,,,,,,,,,,,,,,,,,,,,,18973667,,,,,,,,,,senegalese
,32272486,,,,,,,,,,,,,,,,23322550,,21149303,,,,,,,,,,,,,,,,,,unmodified
,31986467,,,33386644,,32873862,,,,,,,,,,,,,,,23422076,,,,,,33597172,,,,,27393003,,,,,fibrosis
,33679438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34343541,,18024958,32817651,,,,aortic
,11454754,,,,,,,,,,,,,,,,,,,,,,,,,,29034959,,,,,,,,,,chlamydomonas
,28877183,,,,,,,,,,,,,,,,,,,,20688971,,,,,,,,,,,,"21173025,19575787,19025623,33271965",,,,constraint
,28981788,,,,,,,,,,,,,,,,,,,,,,32735576,,,,,,,,,,,,,,pericarp
,,15220430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27238969,,,,,hmw
,,23116197,,,,,,,,,,,,,,,,,,,,"25240868,21498770",,,,,23116197,,,26121143,,17909037,,,,,corroborate
,,28293639,,28293639,,,33850810,,,,,,,,22757692,,33299887,22757692,,,,,,24658151,,,29433420,,,,,,,,,,ipa
,,19609968,,,,,,,28270566,20536739,,,,,,,,,,29453425,,,,,,,"20403389,24699271",,,,,,25240600,,,,chronically
,,28077931,,,,,,,,,,,,,,,,,,,35268596,,,,,,"12543933,26129968",,,,,,,,,,polysaccharide
,,28077931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nspes
,,28077931,,,,,,,,32116744,,,,,,,28768491,,33490244,"29453425,34679046",,,,,,,26129968,,,,,,,,,,gastrointestinal
,,,35749873,,,,,,,,,,,,,,,,,,,,,,,,,,,19029303,,,,,,,crd
,,,33105837,,,,,,,,,,35203426,,,,,,,,,31134003,32748085,,,,,,,,,16823372,25410248,,,,omics
,,,,19890851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zotx1
,,,,17597530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otd
,,,,"11906214,27097562,33963285",,,,,14579377,,,,26991250,,26515131,,,,,,,,,,,,,,,,,,,,,,projection
,,,,33015792,,26112988,34016745,,,,31957815,,,,,32077747,,,33356743,,,,,,,,,,,,,,34921595,,,,cck-8
,,,,"20396904,22577225,18385377",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anophthalmia
,,,,"18728160,20396904,22715480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hesx1
,,,,18728160,,,31486991,,,,,,,,,33758202,,,31191748,12941645,,,,,,,,,,,,29804005,,,,,hormonal
,,,,19956411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12477726,flash
,,,,"22577225,24167467","17335796,30297736",,23806211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mandibular
,,,,,,,34573275,,,,,,,,,,,12616398,,,20877624,,,,,,,,,,,,,,,,genotyping
,,,,30928384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,luad
,,,,30928384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dmbx1
,,,,"22508046,34306176,34559577",30551440,,,,,,,"26831658,27666310,29557391",,,,,,,,,,,,,,,,,,,,,,,,,mtt
,,,,"16961590,33999993",,16341127,,,,11259580,,,,,,,,,,,,,,20673990,,,28787542,,,,,,28787542,,,15539428,repressive
,,,,14645121,21723936,,,,,,,,,,,,,,,,,,,20673990,,,19132089,,,,,,,,,,intergenic
,,,,"7898305,35644505,33963285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,homeoprotein
,,,,33999993,,,,,,,,,,,,,,,,,,,,"28265575,26305539",,,,,,,,,,,,,primordial
,,,,,18322277,,,,,16641145,,,,,,,,,,,,,,,,,,,,,,12080185,,,,"16189181,20678994",coexpressed
,,,,,27416760,,,,,,,,,,16091362,,,,1999398,,,,,,,26522729,,,,,,,3095320,,,,indistinguishable
,,,,25281935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,barhl2
,,,,23139843,"25954033,18158147,15581883",,23806211,19141675,,,,,,,,,,,,,,,,,,,16525935,,,,,,,,,,morpholino
,,,,"8643671,23145006",26512061,,,,,17393485,,,,,,,,,31886120,,,16573691,,,,,,,,,,,,,,,abnormally
,,,,34559577,23382810,,,,,,,,,,,,31133884,,23236463,31694235,,35158652,,,,,,,,,,,33255918,,,,qpcr
,,,,31969185,25954033,,"23806211,27287801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,palate
,,,,31655597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ataxin-1
,,,,27097562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rgc
,,,,22564795,15581883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trigeminal
,,,,22564795,,,,,,,,,,,,28613156,33871019,,,,34549988,,,,,15199122,,,,,,,,,,,antagonistic
,,,,33143303,,,,,,,,,,,,,,,,,,,,,,,"19995576,27602567,26687036",,,,,,,,,,lectin
